source_id,Mass_BH,Mass_BH_lower,Mass_BH_upper,Mass_1,Mass_1_lower,Mass_1_upper,logP,logP_lower,logP_upper,plating
5848235763291472128,3.120372642260734,2.1571441905205813,4.39477903569647,2.394256449792199,1.154039041503448,4.790007994214972,2.2459651637863205,1.8912370434527428,2.368430734206875,bronze
5855201032010384128,3.7044661930903056,2.559779609030342,5.487957312342493,1.9250800543721256,0.876455361855227,4.02852535168593,2.063191689791443,1.726879070594879,2.192986453042583,bronze
5855307268007628288,7.006125783622736,2.5067469644616795,9.113379770611065,1.66049767627102,0.4458880749020217,5.8933712347185345,2.141656272964093,1.7998885694503273,2.269067936396594,bronze
5855457527464181760,3.7935781249489127,2.6601974503336945,5.812973350690931,1.5935604352889066,0.7136685918158011,3.407732547559929,2.111280508031891,1.7424175655584921,2.229944394947167,bronze
5856181487146729984,3.075378728146913,2.1174435020854148,4.525162467123279,1.6371267791134854,0.7529469011246279,3.438816804553906,2.034865242857152,1.6708931581182354,2.1553863462691214,bronze
5856506835194399872,3.244162202504384,2.2023074980705344,4.631918280106207,2.051454299055171,0.9586039667663105,4.240382995182455,2.067990127294428,1.7250391172384514,2.194371971787305,bronze
5856732887906402944,3.4166861778516844,1.740374279982778,4.352931679216878,2.0129859832661325,0.7887025627173858,4.93391474232023,2.4266790564376604,2.071775343423556,2.5502284871471406,bronze
5859904261757170304,5.389156793765834,2.265060216821872,6.8656979340890825,1.9854122469444355,0.6403564337300192,5.883444445941796,2.5834194790004665,2.225840220158455,2.7058394800218615,bronze
5872366401402078080,3.089098338120819,1.744041934900544,3.910330479750917,2.621132959685704,1.1477151194688013,5.769619631828141,2.1003238224053895,1.7468120520452368,2.2247207111480143,bronze
5895599730595141120,3.4507165521733425,2.3799956688020454,5.147550358688254,1.6782290277328133,0.7614437162336898,3.5619406730974457,1.4729725871427586,1.12889524322424,1.6005418987279807,bronze
5899264609010581376,4.948535903865378,2.217699412383612,6.265236828054375,2.1918345061845916,0.7579772464031282,6.049587884253943,1.5373805454311984,1.1945895580788977,1.6660030850743197,bronze
5899684454963317888,4.528718317456108,2.9405971531136648,6.785640892360277,1.7388179925099843,0.737436767815097,3.9267700238363914,1.7947407410132534,1.4410695778801943,1.919250477266695,bronze
5902570703034524160,6.031750091703446,2.367654477998724,7.787278079399988,1.7369785017409944,0.5168096062541847,5.590688510844234,2.501898635756335,2.1575692421191506,2.62748897220194,bronze
5902785726297379712,8.52927873363065,2.5851838456100067,11.307633426214156,1.2652821545561792,0.28191601451738774,5.3936197096342235,2.400297538883522,2.0443658414019725,2.5230800004828926,bronze
5905499394001550336,3.249249571575519,2.27714648484433,4.882913047453124,1.5731574082155992,0.7196061864664466,3.3088031595892335,1.7935414146405546,1.4359374057805623,1.9162531422463935,bronze
5905877621696871296,3.648398730643148,2.43129116085482,5.394791247148497,1.6873619141237273,0.7428303729517828,3.6573371631103333,1.9064695587777434,1.5544586991056322,2.0317599371326547,bronze
5906681334644183936,4.235932621363819,2.9360374356506007,6.463871256840751,1.7376263642203589,0.7727032074462781,3.745199297781767,2.0647531385071494,1.704725811231608,2.1863934035423753,bronze
5909510171899330432,13.471015126088869,2.879007615311974,18.03015648380343,0.9505951517000713,0.14657554510819218,5.748769327177169,1.0066282517949265,0.6396436611626299,1.1255592728145332,bronze
